OriginTime,MinWait
15.4306,0.79412
15.4346,0.795279
15.4388,0.796458
15.4431,0.797635
15.4473,0.798844
15.4514,0.800071
15.4557,0.801225
15.4598,0.802477
15.4642,0.803701
15.468,0.804905
15.4722,0.806171
15.4762,0.807282
15.4805,0.808536
15.4849,0.809684
15.4889,0.810838
15.4929,0.812068
15.4971,0.813314
15.5011,0.814627
15.5054,0.81596
15.5097,0.817166
15.5143,0.818362
15.5186,0.819624
15.5229,0.820941
15.5272,0.822188
15.5314,0.823477
15.5357,0.824717
15.5401,0.825995
15.5442,0.827322
15.5487,0.828597
15.553,0.829906
15.5572,0.831254
15.5613,0.832536
15.5658,0.83386
15.5702,0.835097
15.5747,0.836342
15.579,0.837662
15.5832,0.838937
15.5874,0.840276
15.5917,0.841658
15.5961,0.84297
15.6004,0.844229
15.605,0.845632
15.6094,0.84697
15.6138,0.84834
15.6184,0.849691
15.6226,0.850972
15.6272,0.852368
15.6316,0.853753
15.6362,0.85517
15.6408,0.856507
15.6454,0.857885
15.6497,0.85921
15.6545,0.860651
15.659,0.86203
15.6637,0.863567
15.6682,0.865019
15.6728,0.866428
15.6773,0.867827
15.6819,0.869307
15.6865,0.87081
15.6911,0.872217
15.6958,0.873719
15.7004,0.875164
15.705,0.876559
15.7098,0.878057
15.7142,0.879657
15.7188,0.881076
15.7233,0.882507
15.728,0.883963
15.7325,0.885435
15.7371,0.887021
15.7416,0.888567
15.7465,0.890116
15.7512,0.891657
15.7557,0.893124
15.7601,0.894755
15.7646,0.896347
15.7695,0.897858
15.7743,0.899493
15.7793,0.901061
15.7841,0.902613
15.7887,0.904222
15.7933,0.905915
15.7981,0.90748
15.803,0.909063
15.808,0.91058
15.8127,0.912201
15.8177,0.913897
15.8223,0.915557
15.8271,0.917181
15.8322,0.918796
15.8368,0.920425
15.8413,0.922104
15.8463,0.923684
15.8513,0.925367
15.8562,0.927118
15.8611,0.928806
15.8659,0.930451
15.8708,0.932187
15.8758,0.933917
15.8807,0.935609
15.8857,0.937262
15.8907,0.938992
15.8959,0.940688
15.9009,0.942435
15.9063,0.944204
15.9112,0.945985
15.916,0.947733
15.9212,0.949418
15.9265,0.951128
15.9316,0.952769
15.9367,0.954389
15.9415,0.956136
15.9467,0.957902
15.9521,0.959735
15.957,0.961451
15.9622,0.963192
15.9677,0.965016
15.9726,0.966807
15.9778,0.968638
15.9828,0.97043
15.988,0.972135
15.9931,0.973986
15.9983,0.975853
16.0039,0.977784
16.0091,0.979511
16.0143,0.981316
16.0192,0.98318
16.0245,0.984919
16.0296,0.986845
16.0348,0.988688
16.0402,0.990462
16.0456,0.992241
16.0508,0.994019
16.0563,0.995943
16.0614,0.997758
16.067,0.999637
16.0726,1.00143
16.0783,1.00344
16.0837,1.00533
16.089,1.0072
16.0942,1.00909
16.0998,1.01103
16.105,1.01288
16.1105,1.01477
16.116,1.0166
16.1217,1.01856
16.1273,1.02044
16.1331,1.02244
16.1386,1.02434
16.1439,1.02625
16.1494,1.0281
16.1554,1.03007
16.1612,1.03219
16.1669,1.03421
16.1728,1.0361
16.1784,1.03801
16.184,1.04003
16.1899,1.04198
16.1954,1.04397
16.2014,1.04591
16.2071,1.04798
16.213,1.04994
16.2188,1.05203
16.2244,1.05412
16.2301,1.05613
16.2358,1.05813
16.2415,1.06025
16.2475,1.06241
16.2532,1.06458
16.2588,1.0667
16.2647,1.06874
16.2707,1.0707
16.2768,1.07285
16.283,1.07493
16.2891,1.07696
16.2955,1.07917
16.3015,1.08135
16.3076,1.08348
16.3138,1.08561
16.3196,1.08773
16.3258,1.08995
16.3319,1.09216
16.3381,1.09441
16.3442,1.0967
16.3507,1.09899
16.3574,1.10132
16.3635,1.10349
16.3698,1.10569
16.3761,1.10786
16.3826,1.11002
16.3888,1.1123
16.3949,1.11467
16.4011,1.11706
16.4077,1.11923
16.4138,1.1216
16.4203,1.12391
16.4269,1.12618
16.4335,1.12854
16.4402,1.13105
16.4467,1.13349
16.4534,1.13572
16.46,1.138
16.4671,1.14028
16.4737,1.14265
16.4804,1.14498
16.4872,1.14743
16.4938,1.14996
16.5007,1.15245
16.5075,1.15491
16.5138,1.15728
16.5206,1.15969
16.5271,1.16209
16.5343,1.16458
16.5411,1.16706
16.5476,1.16957
16.5547,1.17198
16.5616,1.17437
16.5689,1.17698
16.5765,1.17944
16.5837,1.18204
16.5909,1.18457
16.5976,1.18717
16.6052,1.18974
16.6124,1.1924
16.6194,1.1949
16.6267,1.19742
16.6341,1.2001
16.6415,1.20283
16.6492,1.20538
16.6564,1.2079
16.6645,1.21056
16.6719,1.21309
16.6792,1.21565
16.6866,1.2184
16.6939,1.22103
16.7012,1.22358
16.7085,1.22632
16.7163,1.22904
16.7241,1.23167
16.7321,1.23448
16.7398,1.2372
16.7474,1.23992
16.7552,1.24267
16.7625,1.2453
16.7703,1.2482
16.7784,1.25085
