X,Y,Z,OriginTime,MinWait,NumberSeen,MaxAngle,PctEmpty
0.91055,0.447018,0.303278,0.502938,0.0575759,0,0,0.99
0.765853,0.524945,0.657413,0.504012,0.0411282,0,0,1
0.0476086,0.852549,0.744884,0.504016,0.00544416,0,0,0.99
0.150738,0.133554,0.271841,0.504338,0.0513901,0,0,1
0.311313,0.610862,0.487181,0.504573,0.0401733,0,0,1
0.63446,0.153525,0.620072,0.505377,0.0572879,0,0,0.99
0.771109,0.315389,0.368389,0.505406,0.021989,0,0,1
0.975051,0.187253,0.0602901,0.505574,0.040958,0,0,0.98
0.312494,0.2694,0.62783,0.505859,0.0423186,0,0,0.98
0.935085,0.652913,0.637012,0.506002,0.046177,0,0,1
0.394071,0.05413,0.562504,0.50749,0.0395111,0,0,0.99
0.0292842,0.459858,0.466144,0.507573,0.0161545,0,0,0.98
0.312152,0.187132,0.619614,0.507819,0.0403587,0,0,0.98
0.341775,0.849218,0.706536,0.508152,0.0462025,0,0,0.98
0.688386,0.518369,0.66447,0.508203,0.0369369,0,0,1
0.071498,0.39296,0.953146,0.508346,0.0577216,0,0,0.98
0.327117,0.492066,0.57802,0.508453,0.0585065,0,0,1
0.315455,0.311146,0.375375,0.508746,0.0316202,0,0,0.99
0.188571,0.323181,0.758861,0.508777,0.0530128,0,0,1
0.430215,0.0752348,0.901845,0.509016,0.011155,0,0,0.98
0.855809,0.650903,0.993497,0.509378,0.0427648,0,0,0.99
0.12472,0.321547,0.553052,0.509983,0.0406142,0,0,1
0.308303,0.458195,0.206017,0.510696,0.0507378,0,0,0.96
0.117063,0.154472,0.526251,0.510946,0.0648301,0,0,0.98
0.897524,0.753788,0.956046,0.511487,0.0560509,0,0,1
0.694177,0.485024,0.221002,0.512947,0.0381531,0,0,0.99
0.666672,0.0853156,0.710244,0.512955,0.0549925,0,0,0.99
0.593806,0.58424,0.134011,0.513002,0.0615817,0,0,1
0.0595124,0.792903,0.0912923,0.513219,0.054637,0,0,0.98
0.254586,0.985027,0.301943,0.513467,0.0433672,0,0,0.98
0.725006,0.346798,0.881467,0.514559,0.0424427,0,0,1
0.856255,0.508221,0.553205,0.515631,0.0321818,0,0,1
0.531296,0.0975895,0.627096,0.515883,0.0420772,0,0,0.98
0.931,0.0910994,0.528543,0.516027,0.04246,0,0,1
0.209089,0.306172,0.995645,0.516102,0.0484181,0,0,0.99
0.0505438,0.803854,0.642487,0.51611,0.0278033,0,0,1
0.420938,0.836191,0.039244,0.51635,0.0180333,0,0,0.99
0.730112,0.650763,0.40673,0.516584,0.046956,0,0,0.98
0.168424,0.950105,0.577687,0.516796,0.0498386,0,0,1
0.806509,0.650016,0.15354,0.516801,0.0572438,0,0,0.98
0.392897,0.116949,0.2469,0.517402,0.0546177,0,0,0.96
0.0561543,0.804096,0.753226,0.517714,0.0181027,0,0,0.99
0.303348,0.674153,0.460539,0.517728,0.027987,0,0,0.99
