X,Y,Z,OriginTime,MinArrival,MinSee,NumberSeen,MaxAngle,PctEmpty,Volume
0.789392,0.251999,0.898585,0.0366812,0.124931,0.0808061,0,0,1,0
0.723984,0.331156,0.341339,0.0367976,0.0979775,0.0673876,0,0,1,0
0.480278,0.603053,0.89736,0.0370839,0.146645,0.0918644,0,0,1,0
0.217537,0.042269,0.737028,0.0372252,0.13633,0.0867776,0,0,1,0
0.9684,0.195655,0.839078,0.0373184,0.111617,0.0744676,0,0,1,0
0.335652,0.483591,0.0320029,0.0374389,0.157749,0.0975942,0,0,1,0
0.34817,0.752157,0.664833,0.0374706,0.14351,0.0904901,0,0,1,0
0.428747,0.114727,0.620346,0.0378696,0.126859,0.0823641,0,0,1,0
0.88185,0.390563,0.858542,0.0378945,0.140807,0.0893509,0,0,1,0
0.0192584,0.988737,0.602632,0.0379168,0.103298,0.0706073,0,0,1,0
0.144072,0.926215,0.462419,0.0380182,0.12182,0.079919,0,0,1,0
0.47043,0.860422,0.0466718,0.0382151,0.101065,0.0696401,0,0,1,0
0.0334049,0.873965,0.658949,0.0385298,0.104378,0.0714537,0,0,1,0
0.00447891,0.473286,0.497228,0.0386098,0.0842076,0.0614087,0,0,1,0
0.852072,0.182038,0.908901,0.0387649,0.131178,0.0849715,0,0,1,0
0.702414,0.234659,0.751036,0.0387681,0.130097,0.0844324,0,0,1,0
0.864846,0.0598318,0.761121,0.0388724,0.116629,0.0777509,0,0,1,0
0.0179,0.114586,0.0867562,0.0390344,0.127864,0.0834491,0,0,1,0
0.453584,0.538532,0.0623556,0.0393291,0.11446,0.0768947,0,0,1,0
0.562792,0.904818,0.382231,0.0397079,0.099146,0.0694269,0,0,1,0
0.157034,0.432952,0.864387,0.0397604,0.155818,0.0977892,0,0,1,0
0.0772791,0.244599,0.363253,0.0397895,0.0747306,0.05726,0,0,1,0
0.378272,0.320621,0.404419,0.0401629,0.112543,0.0763532,0,0,1,0
0.91055,0.447018,0.303278,0.0404638,0.117433,0.0789484,0,0,1,0
0.765853,0.524945,0.657413,0.0408687,0.11472,0.0777943,0,0,1,0
0.0476086,0.852549,0.744884,0.0408703,0.0654749,0.0531726,0,0,1,0
0.150738,0.133554,0.271841,0.0409924,0.0948396,0.067916,0,0,1,0
0.311313,0.610862,0.487181,0.0410813,0.135917,0.0884994,0,0,1,0
0.63446,0.153525,0.620072,0.0413878,0.125564,0.0834758,0,0,1,0
0.771109,0.315389,0.368389,0.041399,0.0933762,0.0673876,0,0,1,0
0.975051,0.187253,0.0602901,0.0414633,0.0950694,0.0682664,0,0,1,0
0.312494,0.2694,0.62783,0.0415723,0.116741,0.0791566,0,0,1,0
0.935085,0.652913,0.637012,0.0416273,0.0965327,0.06908,0,0,1,0
0.394071,0.05413,0.562504,0.0422017,0.104317,0.0732592,0,0,1,0
0.0292842,0.459858,0.466144,0.0422338,0.0805836,0.0614087,0,0,1,0
0.312152,0.187132,0.619614,0.0423293,0.12425,0.0832894,0,0,1,0
0.341775,0.849218,0.706536,0.0424591,0.0946019,0.0685305,0,0,1,0
0.688386,0.518369,0.66447,0.0424791,0.118934,0.0807065,0,0,1,0
0.071498,0.39296,0.953146,0.0425347,0.123102,0.0828185,0,0,1,0
0.327117,0.492066,0.57802,0.0425764,0.131062,0.0868191,0,0,1,0
0.315455,0.311146,0.375375,0.0426911,0.0940302,0.0683607,0,0,1,0
0.188571,0.323181,0.758861,0.0427034,0.0959423,0.0693229,0,0,1,0
0.430215,0.0752348,0.901845,0.0427971,0.0830785,0.0629378,0,0,1,0
0.855809,0.650903,0.993497,0.0429391,0.133623,0.0882809,0,0,0.99,0
0.12472,0.321547,0.553052,0.0431779,0.108718,0.0759479,0,0,1,0
0.308303,0.458195,0.206017,0.0434603,0.124261,0.0838608,0,0,1,0
0.117063,0.154472,0.526251,0.0435596,0.104468,0.0740139,0,0,1,0
0.897524,0.753788,0.956046,0.0437751,0.117947,0.0808611,0,0,1,0
0.694177,0.485024,0.221002,0.0443612,0.129795,0.0870781,0,0,1,0
0.666672,0.0853156,0.710244,0.0443645,0.110651,0.077508,0,0,1,0
0.593806,0.58424,0.134011,0.0443837,0.119084,0.081734,0,0,1,0
0.423119,0.838331,0.814875,0.0444605,0.0695028,0.0569816,0,0,1,0
0.996042,0.840534,0.746234,0.0445948,0.0648374,0.0547161,0,0,1,0
0.987472,0.877764,0.247129,0.0447945,0.143467,0.0941309,0,0,1,0
0.838349,0.8962,0.23656,0.04485,0.0927209,0.0687854,0,0,1,0
0.534225,0.653091,0.59563,0.0452533,0.138227,0.0917402,0,0,1,0
0.54653,0.0992604,0.728005,0.0452782,0.10309,0.0741839,0,0,1,0
0.599766,0.355404,0.780285,0.0456892,0.131455,0.0885719,0,0,1,0
0.697405,0.285569,0.372952,0.0456915,0.0983112,0.0720013,0,0,1,0
0.386974,0.910238,0.0870409,0.0458396,0.10846,0.0771499,0,0,1,0
0.574512,0.869665,0.652622,0.0458904,0.137925,0.0919077,0,0,0.98,0
0.769212,0.126322,0.911687,0.0461081,0.136516,0.0913119,0,0,1,0
0.570185,0.0355415,0.762793,0.0461923,0.112711,0.0794519,0,0,1,0
0.0131803,0.310537,0.23525,0.0462296,0.108909,0.0775694,0,0,1,0
0.313359,0.841985,0.554179,0.0462634,0.0905319,0.0683976,0,0,0.99,0
0.125315,0.85479,0.136385,0.0463077,0.101646,0.0739767,0,0,1,0
0.178875,0.0994627,0.0361821,0.0465238,0.100698,0.0736111,0,0,1,0
0.621787,0.656011,0.553447,0.0466582,0.124244,0.085451,0,0,1,0
0.95699,0.146363,0.0417645,0.0466811,0.0898517,0.0682664,0,0,1,0
0.0903769,0.319276,0.946301,0.0467317,0.118905,0.0828185,0,0,1,0
